market_constraint,dayzer_constraint,pano_constraint
QUARRY 230 KV QUARRY-STEELCITY 230 KV 2 | L230.STEELCITY-QUARRY.1,QUARRY_230 KV_QUA-STE:L230.SteelCity-Quarry.2,QUARRY-STEELCITY 230 KV 2   B  230 KV | L230.Steel City-Quarry.1
CRANESCR_230KV2157A_1_LN | L500.MIDLOTHIAN-NORTHANNA.576,CRANESCR_230 KV_2157A:L500.Midlothian-NorthAnna.576,CRANESCR 230KV - STAFFORD 230KV (STAFFORD 230 KV 2104B) | L500.Midlothian-NorthAnna.576
APSOUTH CONTINGENCY 44 | L500.DOOMS-VALLEY.549,APSOUTH contingency 29 L500.Mt Storm-Valley.550,APSOUTH contingency 44 | L500.Dooms-Valley.549
BUSHKILL 230 KV BUSHKILL-KITTATIN K1019 | L500.HOPATCONG-LACKAWANNA.5063,BUSHKILL_230 KV_BUS-KIT:L500.Hopatcong-Lackawanna.5063,BUSHKILL 230KV - KITTATIN 230KV (BUSHKILL 230 KV BUS-KIT) | L500.Hopatcong-Lackawanna.5063
DEERCREE138 KV  DEE-DOO | L765.DUMONT-SORENSON,DEERCREE_138 KV_DEE-DOO:L765.Dumont-Sorenson,DOOVILLE 138KV - DEERCREE 138KV (DEERCREE 138 KV DEE-DOO) | L765.Dumont-Sorenson
BRIGHTON230 KV  BRI-MTZ4 | ACTUAL,BRIGHTON_230 KV_BRI-MTZ4:ACTUAL,
ALLENIM 138 KV  ALL-LOG | 138/69.JAY.T1,ALLENIM_138 KV_ALL-LOG:138/69.Jay.T1,ALLENIM 138KV - LOGTOWN 138KV (ALLENIM 138 KV ALL-LOG) | 138/69.Jay.T1
CORRIDOR345 KV  COR-VAS2 | ACTUAL,CORRIDOR_345 KV_COR-VAS2:ACTUAL,
AMOS    138 KV  7-S | L345.AMOS-SPORN,AMOS_138 KV_7-S:L345.Amos-Sporn,AMOS 1KV - AMOS 138KV (AMOS 138 KV 7-S) | L345.Amos-Sporn
HIGHRIDG230 KV  HIG-SAN1 | ACTUAL,HIGHRIDG_230 KV_HIG-SAN1:ACTUAL,LINE    230 KV  HIG-SAN1 | BURTONSV230 KV  230K26B CB      OPEN    BURTONSV230 KV  230K46B CB      OPEN    HIGHRIDG230 KV  230-
DOEX530 345 KV  DOE-PIE2 | L765.JEFFERSON-ROCKPORT,DOEX530_345 KV_DOE-PIE2:RAS.L765.Jefferson-Rockport + Rockport.U2,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2) | RAS.L765.Jefferson-Rockport + Rockport.U1
EELKHART138 KV  EEL-MOT1 | L345.TANNERSCREEK-DEARBORN.1,,EELKHART138 KV  EEL-MOT1 | L345.TannersCreek-Dearborn.1
CONEMAUG500 KV TX3 | ACTUAL,,CONEMAUG500 KV  TX3 | L500.Juniata-Keystone.5004
CONOWING230 KV  CON-NOT | ACTUAL,CONOWING_230 KV_CON-NOT:ACTUAL,
SAPONY  230 KV  TX2 | TIDD.CARDINAL.U1,SAPONY_230 KV_TX2:Tidd.Cardinal.U1,SAPONY 35KV - SAPONY 230KV (SAPONY 230 KV TX2) | Tidd.Cardinal.U1
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL | L500.CABOT-KEYSTONE.5002,ALLLUD4J_138 KV_ALJ-ALL:L500.Cabot-Keystone.5002,ALLDAM6 138KV - ALLLUD4J 138KV (ALLLUD4J 138 KV ALJ-ALL) | L500.Cabot-Keystone.5002
66 E FRN 345 KV 66 E FRN TR83CT-P XFORMER | L345.GOODINGSGR-E.FRANKFORT.11602 SPOG 3-29,66 E FRN_345 KV_TR83CT-P:ACTUAL,66 E FRN 345KV - 66 E FRN 1KV (66 E FRN 345 KV TR83CT-P) | L345.GoodingsGr-E.Frankfort.11602  SPOG 3-29
GOMER   138 KV  GOM-NDEL | L138.ALLENIM-LOGTOWN,GOMER_138 KV_GOM-NDEL:L138.AllenIM-Logtown,GOMER 138KV - NDELPHOS 138KV (GOMER 138 KV GOM-NDEL) | L138.AllenIM-Logtown
DOEX530 345 KV  DOE-PIE1 | L345.EASTLIMA-FOSTORIACENTRAL,DOEX530_345 KV_DOE-PIE1:L345.EastLima-FostoriaCentral,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1) | L345.EastLima-FostoriaCentral
DOEX530 345 KV  DOE-PIE1 | L500.BROADFORD-SULLIVAN (TVA) TIE,DOEX530_345 KV_DOE-PIE1:L500.Broadford-Sullivan (TVA) Tie,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1) | L500.Broadford-Sullivan (TVA) Tie
DUMONT2 345 KV  DUM-TWI1 | L765.DUMONT-SORENSON,DUMONT2_345 KV_DUM-TWI1:L765.Dumont-Sorenson,DUMONT2 345KV - TWINBRAN 345KV (DUMONT2 345 KV DUM-TWI1) | L765.Dumont-Sorenson
MCCARTER230 KV  MCC-STA | L230.CEDARGROVE-CEDARSUB-ROSELAND.Y-2277,MCCARTER_230 KV_MCC-STA:L230.CedarGrove-CedarSub-Roseland.Y-2277,MCCARTER230 KV  MCC-WOR | L230.CedarGrove-CedarSub-Roseland.Y-2277
OAKGROVE 230 KV OAKGROVE-TALBERT 23067 | 500/230.CHALKPOINT.T6,OAKGROVE_230 KV_OAK-TAL7:500/230.ChalkPoint.T6,TALBERT 230KV - OAKGROVE 230KV (OAKGROVE 230 KV OAK-TAL8) | 500/230.ChalkPoint.T6
REFORM  138 KV  NNE-REF | L138.HEATH-WESTMILLERSPORT,REFORM_138 KV_NNE-REF:L138.Heath-WestMillersport,REFORM 138KV - NNEWARK 138KV (REFORM 138 KV NNE-REF) | L138.Heath-WestMillersport
GREENTOWN_KOKOMO_230_FLO_ROCKPORT_SULLIVAN_765 | L765.ROCKPORT-SULLIVAN,GREENTO2_230 KV_GRE-KOK1:L765.Rockport-Sullivan,GREENTO2 230KV - KOKOMO_E 230KV (GREENTO2 230 KV GRE-KOK1) | L765.Rockport-Sullivan
POLANDRD230 KV  2183A | 500/230.PLEASANTVIEW.T3,POLANDRD_230 KV_2183A:500/230.PleasantView.T3,BRAMBLET 230KV - POLANDRD 230KV (POLANDRD 230 KV 2183A) | 500/230.PleasantView.T3
ELIMA   138 KV  ELI-NWO1 | ACTUAL,ELIMA_138 KV_ELI-NWO1:ACTUAL,ELIMA 138KV - NWOODCOC 138KV (ELIMA 138 KV ELI-NWO1) | BASE
FLSCHURC-GLCARLYN 251B      B  230 KV | L230.PLEASNTVIEW-EDWARDSFERRY-DICKERSON.23111/203A,FLSCHURC_230 KV_251B:L230.PleasntView-EdwardsFerry-Dickerson.23111/203A,GLCARLYN 230KV - FLSCHURC 230KV (FLSCHURC 230 KV 251B) | L230.PleasntView-EdwardsFerry-Dickerson.23111/203A
BAYS 138 KV BAY-WOL | ACTUAL,BAYS_138 KV_BAY-WOL:ACTUAL,BAYS 138KV - WOLFRUN 138KV (BAYS 138 KV BAY-WOL) | L765.Kammer-Belmont-Mountaineer+765/500.Belmont.T5
SCHUYLKI230 KV  SCH 7TR | ACTUAL,SCHUYLKI_230 KV_SCH 7TR:ACTUAL,
ASHBURN 230 KV  227B | L230.EVERGREENMILLS-BRABLETON.2172,ASHBURN_230 KV_227B:L230.EvergreenMills-Brableton.2172,ASHBURN 230KV - BEAUMEAD 230KV (ASHBURN 230 KV 227B) | L230.EvergreenMills-Brableton.2172
FREMNT_138KVFRE-FRE1_1_LN | L138/69.FREMONT.T1 + 69.FREMONT.BUS,FREMNT_138 KV_FRE-FRE1:L138/69.Fremont.T1 + 69.Fremont.Bus,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1) | L138/69.Fremont.T1 + 69.Fremont.Bus
CHESTNUT115 KV  CHE-FRE8 | L230.GRACETON-BAGLEY-RAPHAELROAD.2313,CHESTNUT_115 KV_CHE-FRE8:L230.Graceton-Bagley-RaphaelRoad.2313,CHESTNUT 115KV - FRED BC 115KV (CHESTNUT 115 KV CHE-FRE8) | L230.Graceton-Bagley-RaphaelRoad.2313
VIENNA 138 KV VIENNA 8110 CB | 230/138.PINEYGROVE.AT20,VIENNA_138 KV_AT2:230/138.PineyGrove.AT20,VIENNA  138 KV  13710 | 230/138.PineyGrove.AT20
WAREROAD138 KV  WAR-WAV | ACTUAL,WAREROAD_138 KV_WAR-WAV:ACTUAL,
MAROA -E GOOSECREEK 345KV L/O HOLLAND NW - NEOGA 345KV | HOLLAND-NEOGA 345 KV,GOOSECRK_345 KV_GOO-MAR:Holland-Neoga 345 kV,Maroa -E GooseCreek 345kV l/o Holland NW - Neoga 345kV | Holland-Neoga 345 kV
BERYL   138 KV  BER-MTZ | L500.BLACKOAK-HATFIELD.542,BERYL_138 KV_BER-MTZ:L500.BlackOak-Hatfield,MTZI APS 138KV - BERYL 138KV (BERYL 138 KV BER-MTZ) | L500.BlackOak-Hatfield.542
SPRINGCR_138KVSPR-WOL2_1_LN | L500.PHIPPSBEND-SULLIVAN (TVA),,WOLFHILL 138KV - SPRINGCR 138KV (SPRINGCR 138 KV SPR-WOL2) | L500.Phippsbend-Sullivan (TVA)
CAPITOLH 138 KV CAPITOLH-CHEMICAL | L765.CULLODEN-WYOMING,CAPITOLH_138 KV_CAP-CHE1:L765.Culloden-Wyoming,CHEMICAL 138KV - CAPITOLH 138KV (CAPITOLH 138 KV CAP-CHE1) | L765.Culloden-Wyoming
CONASTON230 KV  CNS-NOR1 | L230.CONASTONE-GRACETON.2323,CONASTON_230 KV_CNS-NOR1:L230.Conastone-Graceton.2323,CONASTON230 KV  CNS-NOR1 | BASE
CHATFIEL138 KV  CHA-HOW1 | L345.SOUTHBERWICK-GALION,CHATFIEL_138 KV_CHA-HOW1:L345.SouthBerwick-Galion,CHATFIEL 138KV - HOWARD2 138KV (CHATFIEL 138 KV CHA-HOW1) | L345.SouthBerwick-Galion
GRIFFN_138KVGRI-02F1_1_LN | L345.AVONLAKE-JUNIPER,GRIFFN_138 KV_GRI-02F1:L345.Avonlake-Juniper,02FOWLES 138KV - GRIFFN 138KV (GRIFFN 138 KV GRI-02F1) | L345.Avonlake-Juniper
ALABAMA 230 KV ALABAMA -PALMERS ALA-PAL9 | ACTUAL,ALABAMA_230 KV_ALA-PAL9:ACTUAL,PALMERS 230KV - ALABAMA 230KV (ALABAMA 230 KV ALA-PAL9) | BASE
TODD HUNTER 345/138 KV TX 15 L/O GARVER-TODD HUNTER 345KV | L345.GARVER-TODDHUNTER,GARVER_345 KV_24:L345.Garver-ToddHunter,GARVER 345KV - GARVER 138KV (GARVER 345 KV 24) | L345.Garver-ToddHunter
COOLSPRI230 KV  AT20 | L230.INDIANRIVER-MILFORD.23034,MILFORD_230 KV_AT20:L230.IndianRiver-Milford.23034,MILFORD 230 KV  AT20 | L230.IndianRiver-Milford.23034
AMDEASTN115 KV  AMD-NORW | L230.MARTINSCREEK-PORTLAND.1008,AMDEASTN_115 KV_AMD-NORT:L230.MartinsCreek-Portland.1008,NORTHWOO 115KV - AMDEASTN 115KV (AMDEASTN 115 KV AMD-NORW) | L230.MartinsCreek-Portland.1008
COLUMBIA 138 KV COLUMBIA-NORTHEA2 | ACTUAL,COLUMBIA_138 KV_COL-NOR1:ACTUAL,NORTHEA2 138KV - COLUMBIA 138KV (COLUMBIA 138 KV COL-NOR1) | BASE
51 MC CO345 KV TR82CT-P | ACTUAL,13 CRAWF_345 KV_TR82CT-P:ACTUAL,51 MC CO345 KV  TR82CT-P | L765.Collins - Plano.2315
SIEGFRIE_T2_2304_XF | L230.MARTINSCREEK-PORTLAND.1008,SIEGFRIE_230 KV_4:L230.MartinsCreek-Portland.1008,SIEGFRIE 69KV - SIEGFRIE 230KV (SIEGFRIE 230 KV TRAN_2) | L230.MartinsCreek-Portland.1008
116 GOOD345 KV  TR82CT-P | L345.CRAWFORD-GOODINGGROVE.1311,116 GOOD_345 KV_TR82CT-P:L345.Crawford-Gooding Grove.1311,116 GOOD 345KV - 116 GOOD 1KV (116 GOOD 345 KV TR82CT-P) | L345.Crawford-GoodingGrove.1311
HILLSBOR138 KV  HIL-SIN1 | L345.OHIOCENTRAL-MUSKINGUMRIVER,HILLSBOR_138 KV_HIL-SIN1:L345.OhioCentral-MuskingumRiver,SINKINGS 138KV - HILLSBOR 138KV (HILLSBOR 138 KV HIL-SIN1) | L345.OhioCentral-MuskingumRiver
EPALMERT 230 KV EPALMERT-HARWOOD EPA-HAR | ACTUAL,EPALMERT_230 KV_EPA-HAR:ACTUAL,HARWOOD 230KV - EPALMERT 230KV (EPALMERT 230 KV EPA-HAR) | BASE
144 WAYNE 45TR81 CT H 345 KV | L345.111ELECTRIC JCT-144WAYNE.11126,144 WAYN_345 KV_TR81CT-P:L345.111Electric Jct-144Wayne.11126,144 WAYN 345KV - 144 WAYN 1KV (144 WAYN 345 KV TR81CT-P) | L345.111Electric Jct-144Wayne.11126
KAMMER2 765 KV  400 | L765.GUERNSEY-VASSELL,KAMMER2_765 KV_400:L765.Guernsey-Vassell,KAMMER2 765KV - KAMMER2 345KV (KAMMER2 765 KV 400) | L765.Guernsey-Vassell
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX | L115.ROUNDTOP-NEWBERRY-CLY,GARDNERS_115 KV_GAR-TEX:L115.RoundTop-Newberry-Cly,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX) | L115.RoundTop-Newberry-Cly (Sctnlz F)
KEENEY 230 KV KEENEY AT20 XFORMER | L230.KEENEY-STEELE.23009,KEENEY_230 KV_AT20:L230.Keeney-Steele.23009,KEENEY 230KV - KEENEY 138KV (KEENEY 230 KV AT20) | L230.Keeney-Steele.23009
FREMNT  138 KV  FRE-WFR1 | L345.FOSTORIACENTRAL-LEMOYNE,FREMNT_138 KV_FRE-WFR1:L345.FostoriaCentral-Lemoyne,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1) | L345.FostoriaCentral-Lemoyne
GOMER   138 KV  GOM-NDEL | L765.MALISZEWSKI-MARYSVILLE,GOMER_138 KV_GOM-NDEL:L765.Maliszewski-Marysville,NDELPHOS 138KV - GOMER 138KV (GOMER 138 KV GOM-NDEL) | L765.Maliszewski-Marysville
MAHANSLA_138KVMAH-TID_1_LN | L138.WEIRTON-CARNEGIE-TIDD.224,MAHANSLA_138 KV_MAH-TID:L138.Weirton-Carnegie-Tidd.224,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID) | L138.Weirton-Carnegie-Tidd.224
GLASGOW_138KVGLA-KEE_1_LN | ACTUAL,GLASGOW_138 KV_GLA-KEE:ACTUAL,
EDINBUR4138 KV  TX4 | L500.LOUDOUN-MEADOWBROOK.5535,EDINBUR4_138 KV_TX4:L500.Loudoun-Meadowbrook.5535,MEADOWBR138 KV  MEA-STR | L500.Loudoun-Meadowbrook.5535
TURKEY HILL MASCOUTA 138 KV L/O COFFEEN ROXFORD 345 KV | COFFEEN-ROXFD 345,,Turkey Hill Mascouta 138 kV l/o Coffeen Roxford 345 kV | Coffeen-Roxfd 345
VANDORN 230 KV  243B | L230.OX-VIRGINIAHILLS.248B + SR1,VANDORN_230 KV_243B:L230.Ox-VirginiaHills.248B + SR1,FRANCONA 230KV - VANDORN 230KV (VANDORN 230 KV 243B) | L230.Ox-VirginiaHills.248B + SR1
ECLIPSE_115KVECL-PIN_1_LN | L230.GLADE-WARREN.2088,ECLIPSE_115 KV_ECL-UTI:L230.Glade-Warren.2088,PINEY 115KV - ECLIPSE 115KV (ECLIPSE 115 KV ECL-PIN) | L230.Glade-Warren.2088
112_WILT_T1_765TR94CT-P_XF | ACTUAL,112 WILT_765 KV_TR94CT-P:ACTUAL,
NEWCARLI138 KV  NEW-PIN1 | L765.JEFFERSON-ROCKPORT,NEWCARLI_138 KV_NEW-PIN1:L765.Jefferson-Rockport,NEWCARLI 138KV - PINEROAD 138KV (NEWCARLI 138 KV NEW-PIN1) | L765.Jefferson-Rockport
08ASHLD7138 KV  ASH-OAK1 | ACTUAL,08ASHLD7_138 KV_ASH-OAK1:ACTUAL,
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL | L345.ERIEWEST-WAYNE.3004,ALLLUD4J_138 KV_ALJ-ALL:L345.ErieWest-Wayne.3004,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL) | L345.ErieWest-Wayne.3004
BROADFO2 138 KV BROADFO2-SALTVILL 2 | L765.BROADFORD-JACKSONSFERRY + B138.BROADFORD.RL3,BROADFO2_138 KV_BRO-SAL1:L765.Broadford-JacksonsFerry + B138.Broadford.RL3,BROADFO2 138KV - SALTVILL 138KV (BROADFO2 138 KV BRO-SAL2) | L765.Broadford-JacksonsFerry + B138.Broadford.RL3
MARYSVI2_345KVMAR-TAN1_1_LN | ACTUAL,MARYSVI2_345 KV_MAR-TAN1:ACTUAL,
BECO    230 KV  BEC-DTC | L230.BRAMBLETON-POLANDROAD.2183,BECO_230 KV_BEC-DTC:L230.Brambleton-PolandRoad.2183,DTC 230KV - BECO 230KV (BECO 230 KV BEC-DTC) | L230.Brambleton-PolandRoad.2183
KEYSTONE_T6_5004TX-P_XF | ACTUAL,,
FREMNT  138 KV  FRE-WFR1 | 345/138.FOSTORIACENTRAL.T1,FREMNT_138 KV_FRE-WFR1:345/138.FostoriaCentral.T1,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1) | 345/138.FostoriaCentral.T1
CHESTNT 115 KV  1024A | L230.CAROLINA-LAKEVIEW.2141,CHESTNT_115 KV_1024A:L230.Carolina-Lakeview.2141,CHESTNT 115KV - COXDP 115KV (CHESTNT 115 KV 1024A) | L230.Carolina-Lakeview.2141
HAVILAND69 KV   HAV-NVA | L765.DUMONT-SORENSON,HAVILAND_69 KV_HAV-NVA:L765.Dumont-Sorenson,HAVILAND 69KV - NVANWERT 69KV (HAVILAND 69 KV HAV-NVA) | L765.Dumont-Sorenson
BRISTERS 500 KV BRISTERS-OX4 539 | L500.LOUDOUN-MORRISVILLE.569,BRISTERS_500 KV_539:L500.Loudoun-Morrisville.569,BRISTERS 500KV - OX4 500KV (BRISTERS 500 KV 539) | L500.Loudoun-Morrisville.569
OX4 230 KV OX4 -GALLWSRD 2097B | L500.LOUDOUN-MORRISVILLE.569,OX4_230 KV_2097B:L500.Loudoun-Morrisville.569,OX4 230KV - GALLWSRD 230KV (OX4 230 KV 2097B) | L500.Loudoun-Morrisville.569
02FOWLES 138 KV 02FOWLES-PLSNTVLY | ACTUAL,MIER_138 KV_MIER:ACTUAL,02FOWLES 138KV - PLSNTVLY 138KV (02FOWLES 138 KV 02F-02P1) | L345.Avonlake-Juniper
BRANDONS-WAUGHCHA 2343 B 230 KV | L500.BRIGHTON-CONASTONE.5011,BRANDONS_230 KV_BRA-WAU3:L500.Brighton-Conastone.5011,BRANDONS 230KV - WAUGHCHA 230KV (BRANDONS 230 KV BRA-WAU3) | L500.Brighton-Conastone.5011
ALLDAM6_138KVALL-KIT_1_LN | L500.SOUTHBEND-YUKON,ALLDAM6_138 KV_ALL-KIT:L500.SouthBend-Yukon,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT) | L500.SouthBend-Yukon
BEAVER CHANNEL - SUB 49 161 KV L/O CORDOVA - SUB39 345 KV | CORDOVA-SUB 39(39-QC-1)345 LINE,SUB 91_345 KV_TR1:Cordova-Sub 39(39-QC-1)345 Line,Beaver Channel-Sub 49 161 l/o Cordova-Sub 39 345+Sub 39 345/161 | Cordova-Sub 39 345+Sub 39 345/161
CHESTER 69 KV CHE52TR | ACTUAL,CHESTER_69 KV_CHE52TR:ACTUAL,CHESTER 69KV - CHESTER 13.8KV (CHESTER 69 KV CHE52TR) | BASE
SUB 39 TR9T1 345/161 KV L/O QUAD CITY-SUB 91 345KV | QUAD-SUB 91 (0401 1)345 LINE,SUB 39_345 KV_9T1:Quad-Sub 91 (0401 1)345 Line,SUB 39 345KV - SUB 39 161KV (SUB 39 345 KV 9T1) | Quad-Sub 91 (0401 1)345 Line
LEESVILL 138 KV LEESVILL-ALTAVIST | ACTUAL,LEESVILL_138 KV_LEE-ALT1:ACTUAL,LEESVILL-ALTAVIST           A  138 KV | Smith Mtn - Canders - Opossum Creek 138kv line
CONASTON_230KVCNS-GRA_1_LN | L500.BRIGHTON-CONASTONE.5011,CONASTON_230 KV_CNS-GRA:L500.Brighton-Conastone,CONASTON 230KV - GRACETON 230KV (CONASTON 230 KV CNS-GRA) | L500.Brighton-Conastone.5011
64_BELLW_138KV135022_1_LN | ACTUAL,,
BIGPINET138 KV  BIG-KIS | ACTUAL,BIGPINET_138 KV_BIG-KIS:ACTUAL,
GRAYSBRA69 KV GRA-ARG1 | 138/69/34.BELLEFONTE.T2,GRAYSBRA_69 KV_GRA-ARG1:138/69/34.Bellefonte.T2,ARGNT_EK 69KV - GRAYSBRA 69KV (GRAYSBRA 69 KV GRA-ARG1) | 138/69/34.Bellefonte.T2
974 ZION-22 ZION 345 KV L/O PLEASANT PRAIRIE-22 ZION 345KV | L345.ZION-PLEASANT PRAIRIE.2221,22 ZION_345 KV_2221:L345.Zion(EnergyCntr/974)-Pleasant Prairie.PLPL41,Pleasant Prairie - Zion | L345.Zion-Pleasant Prairie.2221
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B | L500.MORRISVILLE-SPOTSYLVANIA.594,CHAPRLTP_230 KV_249B:L500.Morrisville-Spotsylvania.594,CARSON4 230KV - CHAPRLTP 230KV (CHAPRLTP 230 KV 249B) | L500.Morrisville-Spotsylvania.594
MESSICRD 138 KV MESSICRD-RIDGELEY WC4 | L500.BISMARK-DOUBS,MESSICRD_138 KV_MES-RID:L500.Bismark-Doubs,RIDGELEY 138KV - MESSICRD 138KV (MESSICRD 138 KV MES-RID) | L500.Bismark-Doubs
OX4_T1_500TX2_XF | 500/230.OX.TX1 (SCTNLZ),OX4 500-OX4 230,OX4 500KV - OX4 230KV (OX4 500 KV TX2) | 500/230.Ox.TX1 (Sctnlz)
DESOTO  138 KV  DES-ROY1 | 138/69.JAY.T1,DESOTO_138 KV_DES-ROY1:138/69.Jay.T1,DESOTO 138KV - ROYERTON 138KV (DESOTO 138 KV DES-ROY1) | 138/69.Jay.T1
COREY   138 KV  COR-MOT1 | ACTUAL,COREY_138 KV_COR-MOT1:ACTUAL,MOTTVILL 138KV - COREY 138KV (COREY 138 KV COR-MOT1) | L138.KenzieCreek-Colby-Valley
BAIR    115 KV  BAI-HIL | ACTUAL,BAIR_115 KV_BAI-HIL:ACTUAL,BAIR 115KV - HILL 115KV (BAIR 115 KV BAI-HIL) | 230/115.Yorkana.T3
HAWTHORN 230 KV HAWTHORN-HINCHMAN N-2266 | L500.HOPATCONG-RAMAPO.5018,5018,HINCHMAN 230KV - HAWTHORN 230KV (HAWTHORN 230 KV HAW-HIN) | L500.Hopatcong-Ramapo.5018
ALLENIM 138 KV  ALL-LOG | L138.RICHLAND-NAOMI-MIDWAY-WAUSEON,ALLENIM_138 KV_ALL-LOG:ACTUAL,ALLENIM 138KV - LOGTOWN 138KV (ALLENIM 138 KV ALL-LOG) | L138.Richland-Naomi-Midway-Wauseon
BEATTYVL69 KV   BTT-BEAT | ACTUAL,BEATTYVL_69 KV_BTT-BEAT:ACTUAL,
955 RIVE138 KV  0703 5 | ACTUAL,955 RIVE_138 KV_0703 5:ACTUAL,
IRONBRI4230 KV  208A | L500.ELMONT-LADYSMITH.574,IRONBRI4_230 KV_208A:L500.Elmont-Ladysmith.574,CHESTER4 230KV - IRONBRI4 230KV (IRONBRI4 230 KV 208A) | L500.Elmont-Ladysmith.574
NOTTINGH 230 KV NOTTINGHM 1-3 SER DEV | 500/230.CONASTONE.500-4,NOTTINGH_230 KV_1-3:500/230.Conastone.500-4,NOTTINGHM 1-3 SER DEV       A  230 KV | 500/230.Conastone.500-4
DOEX530 345 KV  DOE-PIE1 | JEFFERSON-ROCKPORT 765+ROCKPORT UNIT 1,DOEX530_345 KV_DOE-PIE1:L765.Jefferson-Rockport,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1) | Jefferson-Rockport 765+Rockport Unit 1
POSSUMP4500 KV  TX1 | ACTUAL,,
COOK - OLIVE 345 KV L/O DUMONT - COOK 765 KV | L765.COOK-DUMONT,COOK_345 KV_COO-OLI1:L765.Cook-Dumont,Dumont T1 765/345 kV l/o Cook-Dumont 765 kV | L765.Cook-Dumont
EASTPT  115 KV  EAP-GOL4 | CENTER-ERDMAN (110556) 115 KV LINE,EASTPT_115 KV_EAP-GOL4:Center-Erdman (110556) 115 kV line,EASTPT 115KV - GOLDENRI 115KV (EASTPT 115 KV EAP-GOL4) | Center-Erdman (110556) 115 kV line
SEWARD 115 KV SEWARD-TOWER51 H1H2 1097 | L500.SOUTHBEND-YUKON,SEWARD_115 KV_SEW-TOW:L500.SouthBend-Yukon,SEWARD 115KV - TOWER51 115KV (SEWARD 115 KV SEW-TOW) | L500.SouthBend-Yukon
167 PLAN 765 KV 167 PLANO 65TR94 CT | ACTUAL,167 PLAN_765 KV_TR94CT-P:ACTUAL,
CHESTNT 115 KV  1001E | L500.CARSON-ROGERSROAD.585,CHESTNT_115 KV_1001E:L500.Carson-RogersRoad.585,WHITAKER 115KV - CHESTNT 115KV (CHESTNT 115 KV 1001E) | L500.Carson-RogersRoad.585
MIAMIFOR 138 KV MIAMIFOR-08GRDALE | L765.MARYSVILLE-SORENSON,MIAMIFOR_138 KV_MIA-08G1:L765.Marysville-Sorenson,08GRDALE 138KV - MIAMIFOR 138KV (MIAMIFOR 138 KV MIA-08G1) | L765.Marysville-Sorenson
FACEROCK_69KVFAC-MAN_1_LN | ACTUAL,FACEROCK_69 KV_FAC-MAN:ACTUAL,
LOBO    230 KV  LOB-MARS | ACTUAL,LOBO_230 KV_LOB-MARS:ACTUAL,MARSHALL 230KV - LOBO 230KV (LOBO 230 KV LOB-MARS) | BASE
MCCARTER230 KV  MCC-WOR | ACTUAL,,MCCARTER230 KV  MCC-WOR | BASE
FACEROCK_FAC69696_SD_1_LN | ACTUAL,FACEROCK_115 KV_1:ACTUAL,FACEROCK_FAC69696_SD_1_LN | BASE
EELKHART138 KV  EEL-ELC1 | L765.DUMONT-SORENSON,EELKHART_138 KV_EEL-ELC1:L765.Dumont-Sorenson,EELKHART138 KV  EEL-MOT1 | L765.Dumont-Sorenson
MILLIRON138 KV MIL-LES1 | L765.KAMMER-BELMONT-MOUNTAINEER+765/500.BELMONT.T5,MILLIRON_138 KV_MIL-LES1:L765.Kammer-Belmont-Mountaineer+765/500.Belmont.T5,MILLIRON138 KV  MIL-LES1 | BASE
MIAMIFOR-08WILEY1 9784 A 138 KV | L345.MIAMIFORT-TERMINAL.4514,MIAMIFOR_138 KV_MIA-HEB:L345.MiamiFort-Terminal.4514,MIAMIFOR 345KV - MIAMIFOR 138KV (MIAMIFOR 345 KV 9) | L345.MiamiFort-Terminal.4514
BLAIRSVE138 KV  BLA-SOC | L500.KEYSTONE-SOUTHBEND.5001(513),KEYSTONE_230 KV_KEY-SHE:L500.Keystone-SouthBend.5001(513),BLAIRSVE 138KV - SOCIALHA 138KV (BLAIRSVE 138 KV BLA-SOC) | L500.Keystone-SouthBend.5001(513)
HARWOOD 230 KV HARWOOD 4 XFORMER | ACTUAL,HARWOOD_230 KV_4:ACTUAL,
CASS    69 KV   CAS-OAK2 | ACTUAL,CASS_69 KV_CAS-OAK2:ACTUAL,OAKHILPL 69KV - CASS 69KV (CASS 69 KV CAS-OAK2) | BASE
LACKAWAN500 KV  4 | ACTUAL,,LACKAWAN500 KV  4 | L500.Susqhnna-Wscsvl-Brngsvl.5043/5044 + Wscsvl.T3
